Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Coding_Scheme
2020-11-23, 10:10:43, 00:08:57, 537.997, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Notes",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-23, 10:10:43, 00:08:57, 537.997, 7.564, 9.764, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Window",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-11-23, 10:10:53, 00:09:07, 547.760, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Window",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-23, 10:10:53, 00:09:07, 547.760, 7.414, 8.606, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Patient",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-11-23, 10:11:01, 00:09:16, 556.366, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Patient",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-23, 10:11:01, 00:09:16, 556.366, 21.918, 46.135, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Notes",, "10-30 seconds ",,,,,,, State start, 1234, HCWtest
2020-11-23, 10:11:48, 00:10:02, 602.501, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Notes",, "10-30 seconds ",,,,,,, State stop, 1234, HCWtest
2020-11-23, 10:11:48, 00:10:02, 602.501, 25.798, 28.683, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Notes",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-11-23, 10:12:16, 00:10:31, 631.184, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Notes",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-23, 10:12:16, 00:10:31, 631.184, 60.728, 70.137, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Door",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-11-23, 10:13:26, 00:11:41, 701.320, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Door",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-23, 10:13:26, 00:11:41, 701.320, 25.358, 26.333, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Patient",, "5-10 seconds",,,,,,, State start, 1234, HCWtest
